title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
Deep residual learning with demodulated time-frequency features for fault diagnosis of planetary gearbox under nonstationary running conditions,https://www.sciencedirect.com/science/article/pii/S0888327019301463,Cited by 20,"https://scholar.google.com/scholar?q=related:6gJTXn3ZQ7wJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",74,All 3 versions,"S Ma, F Chu, Q Han - Mechanical Systems and Signal Processing, 2019 - Elsevier","Due to the tough and time-varying working conditions, fault diagnosis technique is of critical significance for drive-chain system in rotating machines. In recent years, many statistical and spectral feature extraction methods have been developed and applied, but unfortunately …"
Residual continual learning,https://ojs.aaai.org/index.php/AAAI/article/view/5884,Cited by 4,"https://scholar.google.com/scholar?q=related:G0gorDV5J-EJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",75,All 4 versions,"J Lee, D Joo, HG Hong, J Kim - Proceedings of the AAAI Conference on …, 2020 - ojs.aaai.org","We propose a novel continual learning method called Residual Continual Learning (ResCL). Our method can prevent the catastrophic forgetting phenomenon in sequential learning of multiple tasks, without any source task information except the original network …"
Deep residual learning for denoising Monte Carlo renderings,https://link.springer.com/article/10.1007/s41095-019-0142-3,Cited by 6,"https://scholar.google.com/scholar?q=related:fZYtfxdKW0MJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",76,All 8 versions,"KM Wong, TT Wong - Computational Visual Media, 2019 - Springer","Learning-based techniques have recently been shown to be effective for denoising Monte Carlo rendering methods. However, there remains a quality gap to state-of-the-art handcrafted denoisers. In this paper, we propose a deep residual learning based method …"
Residual learning from demonstration,https://arxiv.org/abs/2008.07682,Cited by 2,"https://scholar.google.com/scholar?q=related:Fb47ky852xgJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",77,All 2 versions,"T Davchev, KS Luck, M Burke, F Meier… - arXiv preprint arXiv …, 2020 - arxiv.org","Contacts and friction are inherent to nearly all robotic manipulation tasks. Through the motor skill of insertion, we study how robots can learn to cope when these attributes play a salient role. In this work we propose residual learning from demonstration (rLfD), a framework that …"
Residual learning deficit after heavy exposure to cannabis or alcohol in rats,https://science.sciencemag.org/content/192/4245/1249.abstract,Cited by 100,"https://scholar.google.com/scholar?q=related:TMsRRcqhHjcJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",78,All 7 versions,"KA Fehr, H Kalant, AE LeBlanc - Science, 1976 - science.sciencemag.org","Acute oral administration of cannabis extract to rats (tetrahydrocannabinol dose, 10 milligrams per kilogram) impaired maze learning. The impairment was more marked after ten daily doses of the same size. After 1, 2, or 3 months9 pretreatment with the same daily …"
Attention-based deep residual learning network for entity relation extraction in Chinese EMRs,https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-019-0769-0,Cited by 12,"https://scholar.google.com/scholar?q=related:0vU6RcTUufkJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",79,All 11 versions,"Z Zhang, T Zhou, Y Zhang… - BMC medical …, 2019 - bmcmedinformdecismak …","Electronic medical records (EMRs) contain a variety of valuable medical concepts and relations. The ability to recognize relations between medical concepts described in EMRs enables the automatic processing of clinical texts, resulting in an improved quality of health …"
An AMP-based network with deep residual learning for mmWave beamspace channel estimation,https://ieeexplore.ieee.org/abstract/document/8715473/,Cited by 12,"https://scholar.google.com/scholar?q=related:8qcJzVoJjpYJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",80,,"Y Wei, MM Zhao, M Zhao, M Lei… - IEEE Wireless …, 2019 - ieeexplore.ieee.org","Beamspace channel estimation in millimeter-wave (mmWave) massive MIMO system is a very challenging task, especially when the number of radio-frequency chains is limited. To address this problem, we present a novel approximate message passing (AMP)-based …"
Graph-regularized locality-constrained joint dictionary and residual learning for face sketch synthesis,https://ieeexplore.ieee.org/abstract/document/8467342/,Cited by 19,"https://scholar.google.com/scholar?q=related:xwa57Fx98_IJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",81,All 4 versions,"J Jiang, Y Yu, Z Wang, X Liu… - IEEE Transactions on …, 2018 - ieeexplore.ieee.org",Face sketch synthesis is a crucial issue in digital entertainment and law enforcement. It can bridge the considerable texture discrepancy between face photos and sketches. Most of the current face sketch synthesis approaches directly to learn the relationship between the …
Residual learning capability in organic amnesia,https://www.sciencedirect.com/science/article/pii/S0010945282800403,Cited by 137,"https://scholar.google.com/scholar?q=related:XRFzZPfvbGkJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",82,All 5 versions,"AJ Parkin - Cortex, 1982 - Elsevier","This article provides a review of residual learning capability in patients suffering from the organic amnesic syndrome. It is shown that organic amnesics are able to learn a considerable number of laboratory tasks, many to a level comparable with normals. It shown …"
Learning deep hierarchical and temporal recurrent neural networks with residual learning,https://link.springer.com/article/10.1007/s13042-020-01063-0,Cited by 1,"https://scholar.google.com/scholar?q=related:XLPIdG7DJXQJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",83,,"T Zia, A Abbas, U Habib, MS Khan - … Journal of Machine Learning and …, 2020 - Springer","Learning both hierarchical and temporal dependencies can be crucial for recurrent neural networks (RNNs) to deeply understand sequences. To this end, a unified RNN framework is required that can ease the learning of both the deep hierarchical and temporal structures by …"
Structural residual learning for single image rain removal,https://www.sciencedirect.com/science/article/pii/S0950705120307243,Cited by 1,"https://scholar.google.com/scholar?q=related:ORQSRA00-mwJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",84,All 4 versions,"H Wang, Y Wu, Q Xie, Q Zhao, Y Liang, S Zhang… - Knowledge-Based …, 2021 - Elsevier","To alleviate the adverse effect of rain streaks in image processing tasks, CNN-based single image rain removal methods have been recently proposed. However, the performance of these deep learning methods largely relies on the covering range of rain shapes contained …"
Deep residual learning for channel estimation in intelligent reflecting surface-assisted multi-user communications,https://arxiv.org/abs/2009.01423,Cited by 8,"https://scholar.google.com/scholar?q=related:J0FAEjEXcw8J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",85,All 2 versions,"C Liu, X Liu, DWK Ng, J Yuan - arXiv preprint arXiv:2009.01423, 2020 - arxiv.org","Channel estimation is one of the main tasks in realizing practical intelligent reflecting surface-assisted multi-user communication (IRS-MC) systems. However, different from traditional communication systems, an IRS-MC system generally involves a cascaded channel with a …"
High frequency residual learning for multi-scale image classification,https://arxiv.org/abs/1905.02649,Cited by 6,"https://scholar.google.com/scholar?q=related:9SMfbjZHt8MJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",86,All 5 versions,"B Cheng, R Xiao, J Wang, T Huang, L Zhang - arXiv preprint arXiv …, 2019 - arxiv.org","We present a novel high frequency residual learning framework, which leads to a highly efficient multi-scale network (MSNet) architecture for mobile and embedded vision problems. The architecture utilizes two networks: a low resolution network to efficiently approximate …"
Deep residual learning meets OFDM channel estimation,https://ieeexplore.ieee.org/abstract/document/8944280/,Cited by 5,"https://scholar.google.com/scholar?q=related:-_mLu4-nyRYJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",87,All 2 versions,"L Li, H Chen, HH Chang, L Liu - IEEE Wireless …, 2019 - ieeexplore.ieee.org","In this letter we apply deep learning tools to conduct channel estimation for an orthogonal frequency division multiplexing (OFDM) system based on downlink pilots. To be specific, a residual learning based deep neural network specifically designed for channel estimation is …"
Recurrent reverse attention guided residual learning for saliency object detection,https://www.sciencedirect.com/science/article/pii/S0925231220300345,Cited by 4,"https://scholar.google.com/scholar?q=related:M8pZ_77Yx4cJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",88,All 2 versions,"T Li, H Song, K Zhang, Q Liu - Neurocomputing, 2020 - Elsevier","Deep convolutional neural networks (CNNs) have been widely applied to saliency object detection (SOD) with promising performance. However, the coarse feature resolutions due to a series of pooling and convolutional operations in CNNs considerably decrease the …"
Volumetric lung nodule segmentation using adaptive roi with multi-view residual learning,https://www.nature.com/articles/s41598-020-69817-y,Cited by 6,"https://scholar.google.com/scholar?q=related:NUJBP4rOXvsJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",89,All 11 versions,"M Usman, BD Lee, SS Byon, SH Kim, B Lee… - Scientific Reports, 2020 - nature.com","Accurate quantification of pulmonary nodules can greatly assist the early diagnosis of lung cancer, enhancing patient survival possibilities. A number of nodule segmentation techniques, which either rely on a radiologist-provided 3-D volume of interest (VOI) or use …"
Label distribution-based facial attractiveness computation by deep residual learning,https://ieeexplore.ieee.org/abstract/document/8168380/,Cited by 26,"https://scholar.google.com/scholar?q=related:d8d7uhyVMMAJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",90,All 4 versions,"YY Fan, S Liu, B Li, Z Guo, A Samal… - IEEE Transactions on …, 2017 - ieeexplore.ieee.org","Two key challenges lie in the facial attractiveness computation research: the lack of discriminative face representations, and the scarcity of sufficient and complete training data. Motivated by recent promising work in face recognition using deep neural networks to learn …"
Fast non-local neural networks with spectral residual learning,https://dl.acm.org/doi/abs/10.1145/3343031.3351029,Cited by 2,"https://scholar.google.com/scholar?q=related:_JWBjItltqkJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",91,All 2 versions,"L Chi, G Tian, Y Mu, L Xie, Q Tian - Proceedings of the 27th ACM …, 2019 - dl.acm.org","Effectively modeling long-range spatial correlation is crucial in context-sensitive visual computing tasks, such as human pose estimation and video classification. Enlarging receptive field is popularly adopted in building such non-local deep networks. However …"
An efficient residual learning neural network for hyperspectral image superresolution,https://ieeexplore.ieee.org/abstract/document/8668479/,Cited by 8,"https://scholar.google.com/scholar?q=related:IK8gt1lwO5QJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",92,All 2 versions,"W Liu, J Lee - IEEE Journal of Selected Topics in Applied Earth …, 2019 - ieeexplore.ieee.org","Deep learning, especially a discriminative model for image reconstruction, has shown great potential for single image superresolution (SR) of hyperspectral images (HSI). For HSI SR task, it is crucial to predicting each pixel according to the surrounding context, exploiting …"
Investigating the automatic classification of algae using the spectral and morphological characteristics via deep residual learning,https://link.springer.com/chapter/10.1007/978-3-030-27272-2_23,Cited by 7,"https://scholar.google.com/scholar?q=related:k1nC6hgO5X8J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",93,,"JL Deglint, C Jin, A Wong - International Conference on Image Analysis …, 2019 - Springer","Under the impact of global climate changes and human activities, harmful algae blooms (HABs) have become a growing concern due to negative impacts on water related industries, such as tourism, fishing and safe water supply. Many jurisdictions have …"
Fine-grained ship classification based on deep residual learning for high-resolution SAR images,https://www.tandfonline.com/doi/abs/10.1080/2150704X.2019.1650982,Cited by 10,"https://scholar.google.com/scholar?q=related:ygqvxj_S7WgJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",94,All 3 versions,"Y Dong, H Zhang, C Wang, Y Wang - Remote Sensing Letters, 2019 - Taylor & Francis","As the resolution of Synthetic Aperture Radar (SAR) images increases, the fine-grained classification of ships has become a focus of the SAR field. In this paper, a ship classification framework based on deep residual network for high-resolution SAR images is proposed. In …"
Improving extreme low-light image denoising via residual learning,https://ieeexplore.ieee.org/abstract/document/8784972/,Cited by 9,"https://scholar.google.com/scholar?q=related:axSuq5TRY5QJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",95,All 6 versions,"P Maharjan, L Li, Z Li, N Xu, C Ma… - 2019 IEEE International …, 2019 - ieeexplore.ieee.org","Taking a satisfactory picture in a low-light environment remains a challenging problem. Low-light imaging mainly suffers from noise due to the low signal-to-noise ratio. Many methods have been proposed for the task of image denoising, but they fail to work under extremely …"
Scale-invariant batch-adaptive residual learning for person re-identification,https://www.sciencedirect.com/science/article/pii/S0167865519303526,Cited by 5,"https://scholar.google.com/scholar?q=related:D11A2zeJcj0J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",96,All 2 versions,"A Sikdar, AS Chowdhury - Pattern Recognition Letters, 2020 - Elsevier","The problem of person re-identification (re-ID) deals with matching two similar persons in probe and gallery sets. The underlying pattern matching task can become more complex as similar persons can appear in different scales in the two sets. In this paper, we address this …"
Quality enhancement network via multi-reconstruction recursive residual learning for video coding,https://ieeexplore.ieee.org/abstract/document/8641373/,Cited by 8,"https://scholar.google.com/scholar?q=related:hv6OM3-9Os0J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",97,All 2 versions,"L Yu, L Shen, H Yang, L Wang… - IEEE Signal Processing …, 2019 - ieeexplore.ieee.org","Lossy compression algorithms introduce multiple compression artifacts that severely decrease visual quality. These compression artifacts are highly related to texture contents, and the hierarchical coding units decision structure also brings multi-scale similarity to these …"
FPGA accelerates deep residual learning for image recognition,https://ieeexplore.ieee.org/abstract/document/8284852/,Cited by 13,"https://scholar.google.com/scholar?q=related:_nlzAkMg5RsJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",98,,"X Li, L Ding, L Wang, F Cao - 2017 IEEE 2nd Information …, 2017 - ieeexplore.ieee.org","Deep learning is greatly promoting the fast development of artificial intelligence. In the image classification area, the recognition rate and inference performance become the main challenges in the real application. Recently, residual network (ResNet) has shown a …"
Enhanced deep residual networks for single image super-resolution,http://openaccess.thecvf.com/content_cvpr_2017_workshops/w12/html/Lim_Enhanced_Deep_Residual_CVPR_2017_paper.html,Cited by 1963,"https://scholar.google.com/scholar?q=related:_PEw8SgmBBwJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",99,All 8 versions,"B Lim, S Son, H Kim, S Nah… - Proceedings of the IEEE …, 2017 - openaccess.thecvf.com","… In particular, residual learning techniques exhibit improved performance. In this paper,
we develop an en- hanced deep super-resolution network (EDSR) with perfor- mance
exceeding those of current state-of-the-art SR meth- ods … 
"
Selective residual learning for visual question answering,https://www.sciencedirect.com/science/article/pii/S0925231220304859,Cited by 1,"https://scholar.google.com/scholar?q=related:q2xHibAisB0J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",100,All 3 versions,"J Hong, S Park, H Byun - Neurocomputing, 2020 - Elsevier","Abstract Visual Question Answering (VQA) aims to reason an answer, given a textual question and image pair. VQA methods are required to learn the relationship between image region features. These methods have the limitation of inefficient learning that can …"
Road extraction by deep residual u-net,https://ieeexplore.ieee.org/abstract/document/8309343/,Cited by 504,"https://scholar.google.com/scholar?q=related:lr305dOyzkIJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",101,All 4 versions,"Z Zhang, Q Liu, Y Wang - IEEE Geoscience and Remote …, 2018 - ieeexplore.ieee.org","… In this letter, a semantic segmentation neural network, which combines the strengths of residual
learning and U-Net, is proposed for road area extraction … [21] proposed the deep residual learning
framework that utilizes an identity mapping [22] to facilitate training … 
"
WeatherNet: Recognising weather and visual conditions from street-level images using deep residual learning,https://www.mdpi.com/2220-9964/8/12/549,Cited by 5,"https://scholar.google.com/scholar?q=related:St-i_KU2ZlEJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",102,All 7 versions,"MR Ibrahim, J Haworth, T Cheng - ISPRS International Journal of Geo …, 2019 - mdpi.com","Extracting information related to weather and visual conditions at a given time and space is indispensable for scene awareness, which strongly impacts our behaviours, from simply walking in a city to riding a bike, driving a car, or autonomous drive-assistance. Despite the …"
R-STAN: Residual spatial-temporal attention network for action recognition,https://ieeexplore.ieee.org/abstract/document/8740848/,Cited by 10,"https://scholar.google.com/scholar?q=related:aho-EqOVJ78J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",103,,"Q Liu, X Che, M Bie - IEEE Access, 2019 - ieeexplore.ieee.org","… To solve this problem, we propose residual spatial-temporal attention network (R-STAN), a
feed-forward convolutional neural network using residual learning and spatial-temporal attention
mechanism for video action recognition, which makes the network focus more on … 
"
ϕ-Net: Deep Residual Learning for InSAR Parameters Estimation,https://ieeexplore.ieee.org/abstract/document/9198099/,Cited by 3,"https://scholar.google.com/scholar?q=related:83mDxNNd4W8J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",104,All 2 versions,"F Sica, G Gobbi, P Rizzoli… - IEEE Transactions on …, 2020 - ieeexplore.ieee.org","Nowadays, deep learning (DL) finds application in a large number of scientific fields, among which the estimation and the enhancement of signals disrupted by the noise of different natures. In this article, we address the problem of the estimation of the interferometric …"
Probabilistic residual learning for aleatoric uncertainty in image restoration,https://www.researchgate.net/profile/Bangti_Jin/publication/334987095_Probabilistic_Residual_Learning_for_Aleatoric_Uncertainty_in_Image_Restoration/links/5fc25a53299bf104cf890685/Probabilistic-Residual-Learning-for-Aleatoric-Uncertainty-in-Image-Restoration.pdf,Cited by 6,"https://scholar.google.com/scholar?q=related:QVMby4UfrUUJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",105,All 2 versions,"C Zhang, B Jin - arXiv preprint arXiv:1908.01010, 2019 - researchgate.net","Aleatoric uncertainty is an intrinsic property of ill-posed inverse and imaging problems. Its quantification is vital for assessing the reliability of relevant point estimates. In this paper, we propose an efficient framework for quantifying aleatoric uncertainty for deep residual  …"
Deep residual learning for analyzing customer satisfaction using video surveillance,https://ieeexplore.ieee.org/abstract/document/8639478/,Cited by 8,"https://scholar.google.com/scholar?q=related:pUJ0_y_0bN0J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",106,All 4 versions,"N Sugianto, D Tjondronegoro… - 2018 15th IEEE …, 2018 - ieeexplore.ieee.org","Measuring customer satisfaction based on facial expressions from video surveillance can potentially support real-time analysis. We propose the use of deep residual network (ResNet), which has been a widely used for many image recognition tasks, but not in the …"
Diagnostic and Prognostic Classification of Brain Disorders Using Residual Learning on Structural MRI Data*,https://ieeexplore.ieee.org/abstract/document/8857902/,Cited by 6,"https://scholar.google.com/scholar?q=related:IE6y9LYrQoMJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",107,All 5 versions,"A Abrol, H Rokham, VD Calhoun - 2019 41st Annual …, 2019 - ieeexplore.ieee.org","In this work, we study the potential of the deep residual neural network (ResNet) architecture to learn abstract neuroanatomical alterations in the structural MRI data by evaluating its diagnostic and prognostic classification performance on two large, independent multi-group …"
Clouds classification from sentinel-2 imagery with deep residual learning and semantic image segmentation,https://www.mdpi.com/2072-4292/11/2/119,Cited by 28,"https://scholar.google.com/scholar?q=related:iELJUICctn8J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",108,All 6 versions,"CC Liu, YC Zhang, PY Chen, CC Lai, YH Chen… - Remote Sensing, 2019 - mdpi.com","Detecting changes in land use and land cover (LULC) from space has long been the main goal of satellite remote sensing (RS), yet the existing and available algorithms for cloud classification are not reliable enough to attain this goal in an automated fashion. Clouds are …"
Residual pyramid learning for single-shot semantic segmentation,https://ieeexplore.ieee.org/abstract/document/8744483/,Cited by 9,"https://scholar.google.com/scholar?q=related:4OZPuRgrqz4J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",109,All 6 versions,"X Chen, X Lou, L Bai, J Han - IEEE Transactions on Intelligent …, 2019 - ieeexplore.ieee.org","Pixel-level semantic segmentation is a challenging task with a huge amount of computation, especially if the input sizes are large. In the segmentation network, apart from the pyramid backbone network, an extra decoder network is often employed to recover the spatial detail …"
Face anti-spoofing using hybrid residual learning framework,https://ieeexplore.ieee.org/abstract/document/8987283/,Cited by 4,"https://scholar.google.com/scholar?q=related:xI6JloGQBT4J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",110,All 3 versions,"U Muhammad, A Hadid - 2019 International Conference on …, 2019 - ieeexplore.ieee.org","Face spoofing attacks have received significant attention because of criminals who are developing different techniques such as warped photos, cut photos, 3D masks, etc. to easily fool the face recognition systems. In order to improve the security measures of biometric …"
Deep residual learning for remote sensed imagery pansharpening,https://ieeexplore.ieee.org/abstract/document/7958794/,Cited by 15,"https://scholar.google.com/scholar?q=related:9M2LKvcKgLAJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",111,,"Y Wei, Q Yuan - … Workshop on Remote Sensing with Intelligent …, 2017 - ieeexplore.ieee.org","We proposed a deep convolutional network for multi-spectral image pan-sharpening to overcome the drawbacks of traditional methods and improve the fusion accuracy. To break the performance limitation of deep networks, residual learning with specific adaption to …"
Celiac disease diagnosis from videocapsule endoscopy images with residual learning and deep feature extraction,https://www.sciencedirect.com/science/article/pii/S016926071931435X,Cited by 6,"https://scholar.google.com/scholar?q=related:hIkpWDNjfLQJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",112,All 9 versions,"X Wang, H Qian, EJ Ciaccio, SK Lewis… - Computer methods and …, 2020 - Elsevier",Abstract Background and Objective Videocapsule endoscopy (VCE) is a relatively new technique for evaluating the presence of villous atrophy in celiac disease patients. The diagnostic analysis of video frames is currently time-consuming and tedious. Recently …
Aerial-image denoising based on convolutional neural network with multi-scale residual learning approach,https://www.mdpi.com/2078-2489/9/7/169,Cited by 8,"https://scholar.google.com/scholar?q=related:9ZjhrqW-jFIJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",113,All 4 versions,"C Chen, Z Xu - Information, 2018 - mdpi.com","Aerial images are subject to various types of noise, which restricts the recognition and analysis of images, target monitoring, and search services. At present, deep learning is successful in image recognition. However, traditional convolutional neural networks (CNNs) …"
Classification of lung nodules based on deep residual networks and migration learning,https://www.hindawi.com/journals/cin/2020/8975078/,Cited by 6,"https://scholar.google.com/scholar?q=related:kZn1A05UovQJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",114,All 18 versions,"P Wu, X Sun, Z Zhao, H Wang, S Pan… - Computational …, 2020 - hindawi.com","The classification process of lung nodule detection in a traditional computer-aided detection (CAD) system is complex, and the classification result is heavily dependent on the performance of each step in lung nodule detection, causing low classification accuracy and …"
One-dimensional residual convolutional autoencoder based feature learning for gearbox fault diagnosis,https://ieeexplore.ieee.org/abstract/document/8957534/,Cited by 6,"https://scholar.google.com/scholar?q=related:jxc_LQRI62IJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",115,,"J Yu, X Zhou - IEEE Transactions on Industrial Informatics, 2020 - ieeexplore.ieee.org","Vibration signals are generally utilized for machinery fault diagnosis to perform timely maintenance and then reduce losses. Thus, the feature extraction on one-dimensional vibration signals often determines accuracy of those fault diagnosis models. These typical …"
Multi-scale semantic image inpainting with residual learning and GAN,https://www.sciencedirect.com/science/article/pii/S0925231218313766,Cited by 9,"https://scholar.google.com/scholar?q=related:jV8xDr1HG7IJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",116,All 2 versions,"L Jiao, H Wu, H Wang, R Bie - Neurocomputing, 2019 - Elsevier","Image inpainting aims to fill the corrupt area semantically and recover the semantic and detailed information; however, concurrent methods suffer from convergence crash and arbitrarily paste the inference of the missing area into the corrupt context. In this paper, we …"
DeepASL: Kinetic model incorporated loss for denoising arterial spin labeled MRI via deep residual learning,https://link.springer.com/chapter/10.1007/978-3-030-00928-1_4,Cited by 14,"https://scholar.google.com/scholar?q=related:0PpRqcr-Yc4J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",117,All 8 versions,"C Ulas, G Tetteh, S Kaczmarz, C Preibisch… - … conference on medical …, 2018 - Springer","Arterial spin labeling (ASL) allows to quantify the cerebral blood flow (CBF) by magnetic labeling of the arterial blood water. ASL is increasingly used in clinical studies due to its noninvasiveness, repeatability and benefits in quantification. However, ASL suffers from an …"
Deep residual learning-assisted channel estimation in ambient backscatter communications,https://ieeexplore.ieee.org/abstract/document/9222226/,Cited by 2,"https://scholar.google.com/scholar?q=related:zMM6ZWF-Xw8J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",118,All 3 versions,"X Liu, C Liu, Y Li, B Vucetic… - IEEE Wireless …, 2020 - ieeexplore.ieee.org","Channel estimation is a challenging problem for realizing efficient ambient backscatter communication (AmBC) systems. In this letter, channel estimation in AmBC is modeled as a denoising problem and a convolutional neural network-based deep residual learning  …"
Improving Mask Learning Based Speech Enhancement System with Restoration Layers and Residual Connection.,https://www.isca-speech.org/archive/Interspeech_2017/pdfs/0515.PDF,Cited by 18,"https://scholar.google.com/scholar?q=related:lfT2t84-7McJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",119,All 3 versions,"Z Chen, Y Huang, J Li, Y Gong - INTERSPEECH, 2017 - isca-speech.org","For single-channel speech enhancement, mask learning based approach through neural network has been shown to outperform the feature mapping approach, and to be effective as a pre-processor for automatic speech recognition. However, its assumption that the mixture …"
Scale-residual Learning Network for Scene Text Detection,https://ieeexplore.ieee.org/abstract/document/9214994/,Cited by 1,"https://scholar.google.com/scholar?q=related:FeAKtkqHF4wJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",120,,"Y Cai, C Liu, P Cheng, D Du, L Zhang… - … on Circuits and …, 2020 - ieeexplore.ieee.org","Detecting incidentally captured text in the wild remains an open problem due to challenging factors including unconstrained scenarios and large scale variation. In this paper, we establish a large-scale scene text detection dataset (LS-Text), containing 36,000 images …"
Coarse-to-fine image dehashing using deep pyramidal residual learning,https://ieeexplore.ieee.org/abstract/document/8715652/,Cited by 5,"https://scholar.google.com/scholar?q=related:UX8vYKWd8rIJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",121,All 2 versions,"Y Wang, R Ward, ZJ Wang - IEEE Signal Processing Letters, 2019 - ieeexplore.ieee.org","Image dehashing refers to the process of inferring images by inverting image hashes. Recently, image dehashing from real-valued image retrieval hashes is shown feasible using deep convolutional neural networks. However, the perceptual quality of dehashed images is …"
Multilingual Recurrent Neural Networks with Residual Learning for Low-Resource Speech Recognition.,https://pdfs.semanticscholar.org/da65/0416734a210981b4cdcda63d9dc0f920219a.pdf,Cited by 13,"https://scholar.google.com/scholar?q=related:_4oXz-ce4w8J:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",122,All 3 versions,"S Zhou, Y Zhao, S Xu, B Xu - INTERSPEECH, 2017 - pdfs.semanticscholar.org","The shared-hidden-layer multilingual deep neural network (SHL-MDNN), in which the hidden layers of feed-forward deep neural network (DNN) are shared across multiple languages while the softmax layers are language dependent, has been shown to be …"
Underwater image enhancement with a deep residual framework,https://ieeexplore.ieee.org/abstract/document/8763933/,Cited by 18,"https://scholar.google.com/scholar?q=related:VSzASHb66GoJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",123,,"P Liu, G Wang, H Qi, C Zhang, H Zheng, Z Yu - IEEE Access, 2019 - ieeexplore.ieee.org","… Second, the very-deep super-resolution reconstruction model (VDSR) is introduced to
underwater resolution applications; with it, the Underwater Resnet model is proposed, which
is a residual learning model for underwater image enhancement tasks … 
"
Voxresnet: Deep voxelwise residual networks for volumetric brain segmentation,https://arxiv.org/abs/1608.05895,Cited by 108,"https://scholar.google.com/scholar?q=related:SWCi9CkScOkJ:scholar.google.com/&scioq=Residual+Learning&hl=en&as_sdt=0,5",124,All 5 versions,"H Chen, Q Dou, L Yu, PA Heng - arXiv preprint arXiv:1608.05895, 2016 - arxiv.org","… Abstract Recently deep residual learning with residual units for training very deep neu- ral
networks advanced the state-of-the-art performance on 2D image recognition tasks, eg, object
detection and segmentation … 2 Method 2.1 Deep Residual Learning … 
"
